m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
484,Mexico,,231,"Hen eggs in shell, fresh",2013,37.66,37.66,539462,,Whole supply chain,,,,Case Study,Cruzada Nacional Contra el Hambre - Grupo Tecnico de las Perdidas y Mermas de Alimentos: Estudio de Linea Base de 2013,,
484,Mexico,,21111.01,"Meat of cattle with the bone, fresh or chilled",2013,34.87,34.87,403256,,Whole supply chain,,,,Case Study,Cruzada Nacional Contra el Hambre - Grupo Tecnico de las Perdidas y Mermas de Alimentos: Estudio de Linea Base de 2013,,
484,Mexico,,21113.01,"Meat of pig with the bone, fresh or chilled",2013,40.91,40.91,353475,,Whole supply chain,,,,Case Study,Cruzada Nacional Contra el Hambre - Grupo Tecnico de las Perdidas y Mermas de Alimentos: Estudio de Linea Base de 2013,,
51,Armenia,,231,"Hen eggs in shell, fresh",2017,2.64,2.64%,900,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21111.01,"Meat of cattle, fresh or chilled",2017,1.55,1.55%,1100,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21113.01,"Meat of pig, fresh or chilled",2017,1.81,1.81%,300,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21121,"Meat of chickens, fresh or chilled",2017,1.89,1.89%,200,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,231,"Hen eggs in shell, fresh",2016,2.88,2.88%,1000,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21111.01,"Meat of cattle, fresh or chilled",2016,1.62,1.62%,1100,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21113.01,"Meat of pig, fresh or chilled",2016,1.67,1.67%,300,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
51,Armenia,,21121,"Meat of chickens, fresh or chilled",2016,1.03,1.03%,100,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
