m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,5.87,5.87,,,Whole supply chain,,Physical Losses,,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.27,0.27,,Wholesale,Storage,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,2.41,2.41,,Harvesting,Harvest,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.06,0.06,,Retailing,Storage,,Poor Storage Practices,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.04,0.04,,Transportation,Farm,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.62,0.62,,Wholesale,Storage,,Poor Storage Practices,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.09,0.09,,Packaging,Farm,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.79,0.79,,"Grading, Sorting",Farm,,,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.09,0.09,,Farm,Storage,,Poor Storage Practices,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1699,"Other stimulant, spice and aromatic crops, n.e.c.",2014,0.06,0.06,,Processing,Storage,,Poor Storage Practices,4 agro-climatic zones,,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
